provider,cidr,region
aws,15.230.72.0/22,
aws,15.230.76.0/23,
aws,15.230.78.0/24,
aws,15.230.79.0/25,ca-central-1
aws,15.230.79.128/26,ca-central-1
aws,15.230.80.0/20,
aws,15.230.96.0/22,
aws,15.230.100.0/31,sa-east-1
aws,15.230.100.2/32,sa-east-1
aws,15.230.101.0/24,eu-west-3
aws,15.230.102.0/23,
aws,15.230.104.0/23,
aws,15.230.106.0/24,eu-west-2
aws,15.230.107.0/32,ap-southeast-2
aws,15.230.107.2/31,ap-southeast-2
aws,15.230.108.0/22,
aws,15.230.112.0/22,
aws,15.230.116.0/24,eu-north-1
aws,15.230.117.0/31,eu-west-1
aws,15.230.118.0/24,ap-southeast-4
aws,15.230.119.0/31,us-east-1
aws,15.230.120.0/31,ap-southeast-1
aws,15.230.121.0/29,me-south-1
aws,15.230.121.8/31,me-south-1
aws,15.230.122.0/29,me-south-1
aws,15.230.123.0/24,ap-northeast-1
aws,15.230.124.0/24,eu-west-1
aws,15.230.129.0/24,ap-northeast-1
aws,15.230.130.0/23,
aws,15.230.132.0/22,
aws,15.230.136.0/23,
aws,15.230.138.0/24,af-south-1
aws,15.230.140.0/22,
aws,15.230.144.0/23,
aws,15.230.147.0/24,us-east-1
aws,15.230.148.0/24,us-east-1
aws,15.230.149.0/30,ap-southeast-2
aws,15.230.149.4/31,ap-southeast-2
aws,15.230.149.8/30,ap-southeast-2
aws,15.230.150.0/23,eu-west-1
aws,15.230.152.0/21,
aws,15.230.160.0/21,
aws,15.230.168.0/24,us-east-1
aws,15.230.169.0/29,us-east-1
aws,15.230.170.0/23,eu-central-2
aws,15.230.173.0/24,eu-west-2
aws,15.230.174.0/24,me-south-1
aws,15.230.176.0/23,
aws,15.230.178.0/24,ap-southeast-3
aws,15.230.179.0/28,us-east-2
aws,15.230.179.16/29,us-east-2
aws,15.230.180.0/22,
aws,15.230.184.0/22,
aws,15.230.188.0/23,
aws,15.230.190.0/24,eu-west-2
aws,15.230.192.0/22,
aws,15.230.196.0/23,
aws,15.230.198.0/24,me-south-1
aws,15.230.199.0/28,us-east-2
aws,15.230.200.0/23,
aws,15.230.202.0/30,us-west-1
aws,15.230.203.0/24,ap-south-1
aws,15.230.204.0/25,us-east-1
aws,15.230.205.0/24,us-east-1
aws,15.230.206.0/23,
aws,15.230.208.0/21,
aws,15.230.216.0/29,us-east-1
aws,15.230.216.8/30,us-east-1
aws,15.230.216.12/31,us-east-1
aws,15.230.217.0/24,ap-southeast-3
aws,15.230.218.0/23,
aws,15.230.220.0/23,us-east-1
aws,15.230.222.0/24,ap-southeast-2
aws,15.230.223.0/28,eu-west-1
aws,15.230.240.0/21,
aws,15.230.248.0/23,
aws,15.230.250.0/24,sa-east-1
aws,15.230.251.0/29,ap-southeast-1
aws,15.230.252.0/23,
aws,15.230.254.0/30,us-east-1
aws,15.230.254.4/32,us-east-1
aws,15.230.255.0/24,eu-west-2
aws,15.232.0.0/15,ap-southeast-3
aws,15.236.0.0/15,eu-west-3
aws,15.240.0.0/15,af-south-1
aws,15.248.8.0/22,us-east-2
aws,15.248.16.0/20,
aws,15.248.32.0/21,
aws,15.248.40.0/22,us-west-2
aws,15.248.48.0/20,
aws,15.248.64.0/21,ca-west-1
aws,15.248.80.0/20,us-west-2
aws,15.248.104.0/24,eu-west-3
aws,15.248.106.0/23,us-east-2
aws,15.248.112.0/20,
aws,15.248.128.0/21,ap-east-2
aws,15.248.136.0/23,
aws,15.248.138.0/24,us-east-1
aws,15.248.139.1/32,us-east-1
aws,15.248.139.2/32,us-east-1
aws,15.248.140.0/22,
aws,15.248.144.0/20,
aws,15.248.168.0/21,sa-west-1
aws,15.251.0.0/28,
aws,15.251.0.20/30,sa-east-1
aws,15.251.0.24/30,
aws,15.251.0.28/31,il-central-1
aws,15.251.0.33/32,ap-northeast-2
aws,15.251.0.34/32,ap-northeast-2
aws,15.251.0.47/32,ca-central-1
aws,15.251.0.48/32,ca-central-1
aws,15.253.0.0/16,us-west-2
aws,15.254.0.0/16,us-west-2
aws,16.12.0.0/20,
aws,16.12.16.0/22,
aws,16.12.20.0/23,
aws,16.12.24.0/21,eu-central-1
aws,16.12.32.0/21,
aws,16.12.40.0/22,
aws,16.12.44.0/24,ap-southeast-5
aws,16.12.48.0/20,
aws,16.12.64.0/22,us-east-2
aws,16.12.71.0/24,mx-central-1
aws,16.12.72.0/21,
aws,16.12.80.0/22,
aws,16.12.84.0/23,me-west-1
aws,16.12.86.0/24,me-west-1
aws,16.12.88.0/21,us-west-2
aws,16.12.96.0/20,us-west-2
aws,16.12.112.0/21,us-west-2
aws,16.12.120.0/22,sa-west-1
aws,16.15.0.0/20,
aws,16.15.16.0/21,
aws,16.15.24.0/22,sa-west-1
aws,16.15.32.0/20,us-west-2
aws,16.15.176.0/20,us-east-1
aws,16.15.192.0/18,us-east-1
aws,16.16.0.0/16,eu-north-1
aws,16.18.0.0/15,eu-central-2
aws,16.22.0.0/15,eu-south-1
aws,16.24.0.0/13,
aws,16.48.0.0/13,
aws,16.56.0.0/16,us-east-1
aws,16.57.0.0/18,ap-southeast-1
aws,16.58.0.0/15,us-east-2
aws,16.60.0.0/14,
aws,16.64.0.0/17,us-gov-east-1
aws,16.65.0.0/16,us-gov-east-1
aws,16.66.0.0/15,us-gov-east-1
aws,16.71.0.0/17,us-west-2
aws,16.76.0.0/14,
aws,16.106.0.0/15,ap-east-1
aws,16.112.0.0/15,ap-south-2
aws,16.140.0.0/15,ap-southeast-4
aws,16.144.0.0/13,us-west-2
aws,16.152.0.0/14,
aws,16.156.0.0/15,ap-southeast-1
aws,16.162.0.0/15,ap-east-1
aws,16.164.0.0/15,il-central-1
aws,16.168.0.0/14,eu-north-1
aws,16.174.0.0/15,ca-west-1
aws,16.176.0.0/14,ap-southeast-2
aws,16.180.0.0/15,me-south-1
aws,16.182.0.0/16,us-east-1
aws,16.184.0.0/14,ap-northeast-2
aws,16.188.0.0/15,eu-west-1
aws,16.192.0.0/13,eu-north-1
aws,16.206.0.0/15,ap-northeast-2
aws,16.208.0.0/15,ap-northeast-3
aws,18.34.0.0/19,us-east-1
aws,18.34.48.0/20,us-west-2
aws,18.34.72.0/21,us-east-2
aws,18.34.232.0/21,us-east-1
aws,18.34.244.0/22,us-west-2
aws,18.34.252.0/22,us-east-2
aws,18.60.0.0/15,ap-south-2
aws,18.64.0.0/14,GLOBAL
aws,18.68.0.0/16,GLOBAL
aws,18.88.0.0/17,us-east-1
aws,18.88.128.0/18,us-west-2
aws,18.89.0.0/18,eu-central-1
aws,18.89.128.0/18,us-east-1
aws,18.96.0.0/22,us-east-1
aws,18.96.8.0/21,us-gov-west-1
aws,18.96.16.0/20,ap-northeast-3
aws,18.96.32.0/19,eu-central-1
aws,18.96.64.0/18,
aws,18.96.128.0/17,
aws,18.97.0.0/16,
aws,18.98.0.0/15,
aws,18.100.0.0/15,eu-south-2
aws,18.102.0.0/16,eu-south-1
aws,18.116.0.0/14,us-east-2
aws,18.130.0.0/16,eu-west-2
aws,18.132.0.0/14,eu-west-2
aws,18.136.0.0/16,ap-southeast-1
aws,18.138.0.0/15,ap-southeast-1
aws,18.140.0.0/14,ap-southeast-1
aws,18.144.0.0/15,us-west-1
aws,18.153.0.0/16,eu-central-1
aws,18.154.0.0/15,GLOBAL
aws,18.156.0.0/14,eu-central-1
aws,18.160.0.0/13,
aws,18.168.0.0/14,eu-west-2
aws,18.172.0.0/15,GLOBAL
aws,18.175.0.0/16,eu-west-2
aws,18.176.0.0/13,ap-northeast-1
aws,18.184.0.0/15,eu-central-1
aws,18.188.0.0/14,us-east-2
aws,18.192.0.0/11,
aws,18.224.0.0/12,
aws,18.244.0.0/15,GLOBAL
aws,18.246.0.0/16,us-west-2
aws,18.252.0.0/15,us-gov-east-1
aws,18.254.0.0/16,us-gov-east-1
aws,23.20.0.0/14,us-east-1
aws,23.91.0.0/19,GLOBAL
aws,23.160.0.0/24,GLOBAL
aws,23.228.194.0/24,us-east-1
aws,23.228.196.0/23,GLOBAL
aws,23.228.198.0/24,GLOBAL
aws,23.228.219.0/24,us-west-1
aws,23.228.220.0/22,GLOBAL
aws,23.228.228.0/22,us-east-1
aws,23.228.232.0/22,us-east-1
aws,23.254.0.0/20,
aws,23.254.16.0/21,me-west-1
aws,23.254.24.0/23,us-west-2
aws,23.254.120.0/21,sa-west-1
aws,24.110.16.0/20,us-east-1
aws,24.110.32.0/19,GLOBAL
aws,27.0.0.0/22,ap-northeast-1
aws,31.220.220.0/22,us-east-1
aws,31.220.235.0/24,ap-south-1
aws,31.220.236.0/24,us-east-1
aws,31.220.247.0/24,GLOBAL
aws,32.192.0.0/12,us-east-1
aws,32.236.0.0/15,ap-southeast-2
aws,32.240.0.0/15,eu-west-3
aws,34.192.0.0/10,
aws,35.18.0.0/15,ap-southeast-5
aws,35.26.0.0/15,ap-east-1
aws,35.28.0.0/14,mx-central-1
aws,35.42.0.0/15,eu-south-2
aws,35.44.0.0/15,eu-south-2
aws,35.48.0.0/15,il-central-1
aws,35.50.128.0/21,us-west-2
aws,35.50.137.0/24,us-east-1
aws,35.50.139.0/24,us-east-1
aws,35.50.141.0/24,us-east-1
aws,35.50.142.0/23,us-east-2
aws,35.50.144.0/24,us-east-2
aws,35.50.176.0/23,sa-east-1
aws,35.50.178.0/24,sa-east-1
aws,35.50.192.0/22,
aws,35.50.196.0/23,eu-west-1
aws,35.50.208.0/24,me-south-1
aws,35.50.210.0/23,me-south-1
aws,35.50.212.0/23,me-south-1
aws,35.50.214.0/24,me-south-1
aws,35.50.224.0/24,ap-northeast-1
aws,35.50.226.0/23,ap-northeast-1
aws,35.50.228.0/22,
aws,35.50.232.0/21,
aws,35.52.0.0/15,me-west-1
aws,35.54.32.0/20,
aws,35.54.48.0/21,
aws,35.54.56.0/22,
aws,35.54.60.0/23,
aws,35.54.62.0/24,us-west-2
aws,35.55.0.0/17,
aws,35.56.0.0/15,me-west-1
aws,35.60.0.0/15,mx-central-1
aws,35.71.64.0/21,
aws,35.71.72.0/22,eu-west-1
aws,35.71.93.0/24,ap-southeast-6
aws,35.71.94.0/24,eusc-de-east-1
aws,35.71.96.0/19,
aws,35.71.128.0/17,GLOBAL
aws,35.72.0.0/13,ap-northeast-1
aws,35.80.0.0/12,us-west-2
aws,35.96.0.0/21,us-west-2
aws,35.96.8.0/22,us-west-2
aws,35.96.12.0/24,eu-central-1
aws,35.96.14.0/23,us-west-2
aws,35.96.16.0/23,us-west-2
aws,35.96.22.0/23,ca-central-1
aws,35.96.24.0/22,
aws,35.96.28.0/23,us-east-1
aws,35.96.32.0/20,
aws,35.96.48.0/21,eu-central-1
aws,35.96.56.0/24,us-west-2
aws,35.96.64.0/18,
aws,35.96.128.0/19,
aws,35.96.240.0/22,
aws,35.96.244.0/23,us-west-2
aws,35.96.246.0/24,us-east-2
aws,35.96.248.0/21,
aws,35.97.0.0/20,GLOBAL
aws,35.97.128.0/24,eu-central-1
aws,35.111.128.0/21,us-east-2
aws,35.111.136.0/22,us-east-2
aws,35.111.252.0/22,
aws,35.152.0.0/13,
aws,35.160.0.0/12,
aws,35.176.0.0/13,
aws,36.103.232.0/25,GLOBAL
aws,36.103.232.128/26,GLOBAL
aws,40.38.0.0/15,us-gov-west-1
aws,40.164.0.0/14,us-west-1
aws,40.168.224.0/23,
aws,40.172.0.0/14,me-central-1
aws,40.176.0.0/14,ca-west-1
aws,40.180.0.0/15,eu-west-1
aws,40.186.0.0/15,ca-central-1
aws,40.192.0.0/14,ap-south-2
aws,40.238.0.0/15,ap-southeast-2
aws,43.192.0.0/16,cn-northwest-1
aws,43.193.0.0/18,cn-northwest-1
aws,43.193.64.0/24,cn-northwest-1
aws,43.194.0.0/20,cn-northwest-1
aws,43.194.16.0/24,cn-northwest-1
aws,43.195.0.0/20,cn-north-1
aws,43.196.0.0/16,cn-north-1
aws,43.198.0.0/15,ap-east-1
aws,43.200.0.0/13,
aws,43.208.0.0/13,
aws,43.216.0.0/15,ap-southeast-5
aws,43.218.0.0/16,ap-southeast-3
aws,43.220.0.0/15,ap-southeast-2
aws,43.249.44.0/22,
aws,43.250.192.0/23,ap-southeast-1
aws,44.192.0.0/10,
aws,45.34.0.0/15,eu-south-1
aws,45.57.128.0/18,ap-southeast-1
aws,45.113.128.0/22,GLOBAL
aws,46.51.128.0/18,eu-west-1
aws,46.51.192.0/20,eu-west-1
aws,46.51.208.0/22,us-east-1
aws,46.51.216.0/21,ap-southeast-1
aws,46.51.224.0/19,ap-northeast-1
aws,46.137.0.0/16,
aws,46.168.0.0/15,ap-southeast-6
aws,47.128.0.0/14,ap-southeast-1
aws,50.16.0.0/14,
aws,50.112.0.0/16,us-west-2
aws,51.0.0.0/20,eusc-de-east-1
aws,51.0.16.0/21,eusc-de-east-1
aws,51.0.24.0/22,eusc-de-east-1
aws,51.0.28.0/24,eusc-de-east-1
aws,51.0.29.0/28,eusc-de-east-1
aws,51.0.29.128/28,eusc-de-east-1
aws,51.0.31.0/24,eusc-de-east-1
aws,51.0.80.0/20,me-central-1
aws,51.0.96.0/20,
aws,51.0.112.0/21,GLOBAL
aws,51.0.128.0/21,eusc-de-east-1
aws,51.0.252.0/24,eusc-de-east-1
aws,51.16.0.0/15,il-central-1
aws,51.20.0.0/15,eu-north-1
aws,51.24.0.0/16,eu-west-2
aws,51.34.0.0/15,eu-central-2
aws,51.44.0.0/14,eu-west-3
aws,51.48.0.0/15,eu-south-2
aws,51.72.0.0/15,eusc-de-east-1
aws,51.74.0.0/20,eusc-de-east-1
aws,51.74.16.0/24,eusc-de-east-1
aws,51.84.0.0/14,il-central-1
aws,51.92.0.0/14,eu-south-2
aws,51.96.0.0/16,eu-central-2
aws,51.100.0.0/15,eu-south-1
aws,51.112.0.0/16,me-central-1
aws,51.118.0.0/16,eu-south-1
